proposal_no	date_submitted	title	sponsor	prime_sponsor	Authors	credit	first	total	theme
19-0055	2018-12-18	"""Design and Development of Cardiovascular Performance Simulation Platform (CPSP)"""	National Science Foundation		Susan A Mengel	0.33	60276.81	198000.0	
19-0067	2018-11-15	"""CNS Core: Small: Collaborative: Vehicular Communication Assisted Evacuation Planning, Disseminating, and Querying for Smooth Acceleration of Mandatory Hurricane Evacuation"""	National Science Foundation		Sunho Lim	1.0	93281.0	281947.0	Disaster / Resilience / Evacuation
19-0258	2018-11-15	"""Consistent Hashing in Deep Storage Architecture"""	National Science Foundation		Yong Chen,Jiang Zhou	1.0	107537.0	201702.0	Software / Systems
19-0259	2018-11-15	"""SHF: A Generative Framework for Dynamic Moving Target Defense"""	National Science Foundation		Akbar Siami Namin	1.0	173708.0	499998.0	Cybersecurity
19-0277	2019-01-01	"""AnthroVI: A Human-centric Approach Towards Prioritization of Infrastructure Recovery"""	National Science Foundation		Fang Jin	0.15	38050.35	97503.75	Human-centered / Social / Anthropology
19-0289	2018-12-03	"""SaTC: TTP: Small: Transitioning Research to the Practice of Automatically Measuring One''s Phishing Susceptibility from Publicly Available Information"""	National Science Foundation		Akbar Siami Namin	0.45	74269.8	224597.25	Cybersecurity
19-0291	2018-11-15	"""III: Small: Craving Analytics and Risk Evaluations (CARE): Personalized Opioid Addiction Intervention for Collegiate Recovery"""	National Science Foundation		Rattikorn Hewett,Fang Jin	0.7000000000000001	149491.3	75000.0	Healthcare / Biomedical
19-0298	2019-02-06	"""NRT-HDR: Data Analytics in Convergence Research of Wildlife, Environmental, and Computational Sciences and Engineering"""	National Science Foundation		Abdul Serwadda	0.16	106985.44	480000.0	Environment & Agriculture
19-0334	2018-12-19	"""A Meta-Modeling Approach for Modeling Security Failure-Tolerant Requirements"""	National Science Foundation		Eonsuk Shin	1.0	105232.0	308559.0	Cybersecurity
19-0345	2019-01-10	"""Theoretical design of metal halide mixtures for facile ammonia absorption/desorption cycles and experimental verification"""	National Science Foundation		Yu Zhuang	0.33	42408.3	164960.73	Materials & Chemistry
19-0401	2019-01-14	"""Foundation of Learning Computing in a STEM context through Logic Programming"""	National Science Foundation		Michael Gelfond,Yuanlin Zhang	0.6299999999999999	191484.09000000003	44994.3	Education & Workforce Development
19-0405	2019-01-15	"""FMitF: Track II: CLRT: Continuous Time Lagrangian Reachability Tool"""	National Science Foundation		Ariful Ariful Islam	1.0	82544.0	99999.0	Robotics & CPS
19-0446	2019-01-30	"""Scientific Computing meets Machine Learning and Life Sciences"""	National Science Foundation		Rattikorn Hewett	0.25	8750.0	8750.0	AI / Machine Learning
19-0519	2019-02-19	"""An Answer Set Programming Approach to Adaptable Clinical Practice Guideline Based Decision Support"""	NIH - National Library of Medicine		Michael Gelfond,Yuanlin Zhang	1.0	159544.0	92124.5	AI / Machine Learning
19-0524	2019-02-19	"""ADT: From Hate Speech to Hate Crime: Phase Space Embedding and Multiscale Geometric Data Fusion"""	National Science Foundation		Tommy Dang	0.33	47496.9	96977.43	AI / Machine Learning
